trader_id,is_rogue,rogue_onset_day
T000,0,-1
T001,0,-1
T002,0,-1
T003,0,-1
T004,1,131
T005,0,-1
T006,0,-1
T007,0,-1
T008,0,-1
T009,0,-1
T010,0,-1
T011,0,-1
T012,0,-1
T013,0,-1
T014,0,-1
T015,0,-1
T016,0,-1
T017,0,-1
T018,0,-1
T019,0,-1
T020,0,-1
T021,0,-1
T022,0,-1
T023,0,-1
T024,0,-1
T025,0,-1
T026,0,-1
T027,0,-1
T028,0,-1
T029,0,-1
T030,0,-1
T031,0,-1
T032,1,113
T033,0,-1
T034,0,-1
T035,0,-1
T036,0,-1
T037,1,148
T038,0,-1
T039,0,-1
T040,0,-1
T041,0,-1
T042,0,-1
T043,0,-1
T044,0,-1
T045,0,-1
T046,0,-1
T047,0,-1
T048,0,-1
T049,0,-1
